track_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist,album
5mJcnekfy4DEpAZ6uAHM7Y,other,0.747,0.948,10,-3.386,0,0.174,0.634,0.0,0.149,0.798,135.887,audio_features,spotify:track:5mJcnekfy4DEpAZ6uAHM7Y,https://api.spotify.com/v1/tracks/5mJcnekfy4DEpAZ6uAHM7Y,https://api.spotify.com/v1/audio-analysis/5mJcnekfy4DEpAZ6uAHM7Y,133360,4,Thullio Milionário,A Cara das Vaquejadas 3.0
1oDffXI1EZd81ckwKSr7Zw,other,0.538,0.89,7,-4.397,0,0.0715,0.152,0.0,0.441,0.749,159.897,audio_features,spotify:track:1oDffXI1EZd81ckwKSr7Zw,https://api.spotify.com/v1/tracks/1oDffXI1EZd81ckwKSr7Zw,https://api.spotify.com/v1/audio-analysis/1oDffXI1EZd81ckwKSr7Zw,163500,4,Rey Vaqueiro,Alô Amor (Ao Vivo)
4dGx53NJZJyuuLP5ownH1p,other,0.704,0.773,4,-2.28,0,0.0433,0.548,0.0,0.0978,0.864,137.881,audio_features,spotify:track:4dGx53NJZJyuuLP5ownH1p,https://api.spotify.com/v1/tracks/4dGx53NJZJyuuLP5ownH1p,https://api.spotify.com/v1/audio-analysis/4dGx53NJZJyuuLP5ownH1p,173207,4,Wesley Safadão,Arrocha Safadão
45czXKyGyd9g060ogyRjx3,other,0.735,0.943,10,-2.719,1,0.114,0.369,0.0,0.0585,0.95,163.989,audio_features,spotify:track:45czXKyGyd9g060ogyRjx3,https://api.spotify.com/v1/tracks/45czXKyGyd9g060ogyRjx3,https://api.spotify.com/v1/audio-analysis/45czXKyGyd9g060ogyRjx3,181098,4,Wesley Safadão,Tá Falando ou Tá Fazendo?
6BWWgcNJWXQ4qRuzY5LzBP,other,0.871,0.926,8,-2.612,0,0.0304,0.489,9.28e-05,0.359,0.969,124.016,audio_features,spotify:track:6BWWgcNJWXQ4qRuzY5LzBP,https://api.spotify.com/v1/tracks/6BWWgcNJWXQ4qRuzY5LzBP,https://api.spotify.com/v1/audio-analysis/6BWWgcNJWXQ4qRuzY5LzBP,183960,4,Felipe Amorim,Tenho que Me Decidir
1GOS5OIo4KywJF7Fw9QR4E,other,0.721,0.936,5,-3.514,1,0.0379,0.416,0.0,0.158,0.927,102.015,audio_features,spotify:track:1GOS5OIo4KywJF7Fw9QR4E,https://api.spotify.com/v1/tracks/1GOS5OIo4KywJF7Fw9QR4E,https://api.spotify.com/v1/audio-analysis/1GOS5OIo4KywJF7Fw9QR4E,163892,4,NATTAN,Pra Quebrar a Cara
0NfOW8szIqV4GlzBzRKPxX,other,0.773,0.886,0,-2.644,1,0.0683,0.242,2.95e-06,0.121,0.887,130.936,audio_features,spotify:track:0NfOW8szIqV4GlzBzRKPxX,https://api.spotify.com/v1/tracks/0NfOW8szIqV4GlzBzRKPxX,https://api.spotify.com/v1/audio-analysis/0NfOW8szIqV4GlzBzRKPxX,122304,4,Wallas Arrais,Tropa do WA
3pLyNmLlw6uRrKaNwMnXOR,other,0.749,0.848,6,-3.192,1,0.0385,0.326,0.000185,0.0812,0.948,133.005,audio_features,spotify:track:3pLyNmLlw6uRrKaNwMnXOR,https://api.spotify.com/v1/tracks/3pLyNmLlw6uRrKaNwMnXOR,https://api.spotify.com/v1/audio-analysis/3pLyNmLlw6uRrKaNwMnXOR,146309,4,Josué Bom de Faixa,O Bom é Ser Bom
2NfAoUHZHODYSxuCZX4qaf,other,0.756,0.902,0,-0.704,0,0.0363,0.584,0.0,0.773,0.905,138.063,audio_features,spotify:track:2NfAoUHZHODYSxuCZX4qaf,https://api.spotify.com/v1/tracks/2NfAoUHZHODYSxuCZX4qaf,https://api.spotify.com/v1/audio-analysis/2NfAoUHZHODYSxuCZX4qaf,180593,4,Zé Vaqueiro,Ser Tão Eu - Parte 2 (Ao Vivo)
0KbGTtipoc4GnUiYEVzfQh,other,0.668,0.887,11,-4.404,0,0.0564,0.369,1.39e-06,0.257,0.907,151.92,audio_features,spotify:track:0KbGTtipoc4GnUiYEVzfQh,https://api.spotify.com/v1/tracks/0KbGTtipoc4GnUiYEVzfQh,https://api.spotify.com/v1/audio-analysis/0KbGTtipoc4GnUiYEVzfQh,157176,4,João Gomes,Eu Tenho a Senha
4fgnNikmEUvXze89h3X47m,other,0.625,0.834,4,-3.8,0,0.0475,0.648,0.0,0.247,0.684,154.801,audio_features,spotify:track:4fgnNikmEUvXze89h3X47m,https://api.spotify.com/v1/tracks/4fgnNikmEUvXze89h3X47m,https://api.spotify.com/v1/audio-analysis/4fgnNikmEUvXze89h3X47m,179235,4,NATTAN,Com Você ou Sem
7ijdmEGyZkTa1jN8AmBnJ9,other,0.695,0.873,7,-2.098,1,0.0352,0.262,0.0,0.157,0.86,151.979,audio_features,spotify:track:7ijdmEGyZkTa1jN8AmBnJ9,https://api.spotify.com/v1/tracks/7ijdmEGyZkTa1jN8AmBnJ9,https://api.spotify.com/v1/audio-analysis/7ijdmEGyZkTa1jN8AmBnJ9,197961,4,Mari Fernandez,Dizem Que Sou Louca
6Ulh9GPYz6JKdv04qc3q2U,other,0.646,0.918,9,-4.112,1,0.0346,0.382,1.87e-05,0.251,0.87,143.943,audio_features,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,https://api.spotify.com/v1/tracks/6Ulh9GPYz6JKdv04qc3q2U,https://api.spotify.com/v1/audio-analysis/6Ulh9GPYz6JKdv04qc3q2U,153958,4,João Gomes,Digo Ou Não Digo
6XvFnICxXsVc8OK4eh1E9b,other,0.679,0.913,0,-3.833,1,0.234,0.69,0.0,0.639,0.791,135.929,audio_features,spotify:track:6XvFnICxXsVc8OK4eh1E9b,https://api.spotify.com/v1/tracks/6XvFnICxXsVc8OK4eh1E9b,https://api.spotify.com/v1/audio-analysis/6XvFnICxXsVc8OK4eh1E9b,158123,4,Henry Freitas,Tem Café
1M6rclDhYmqRBMFGNJOFKB,other,0.588,0.794,11,-4.182,0,0.0399,0.184,0.0,0.418,0.357,139.903,audio_features,spotify:track:1M6rclDhYmqRBMFGNJOFKB,https://api.spotify.com/v1/tracks/1M6rclDhYmqRBMFGNJOFKB,https://api.spotify.com/v1/audio-analysis/1M6rclDhYmqRBMFGNJOFKB,156330,4,NATTAN,Americana Na Vaquejada
3xCkNUiap7EBjqnRldHSSh,other,0.711,0.75,0,-4.976,1,0.0322,0.605,3.88e-06,0.0779,0.878,102.01,audio_features,spotify:track:3xCkNUiap7EBjqnRldHSSh,https://api.spotify.com/v1/tracks/3xCkNUiap7EBjqnRldHSSh,https://api.spotify.com/v1/audio-analysis/3xCkNUiap7EBjqnRldHSSh,228301,4,Zé Vaqueiro,Indícios
4A59ygOlOd3V0GbyEmUxKs,other,0.66,0.864,2,-3.206,1,0.0499,0.272,0.0,0.042,0.963,144.124,audio_features,spotify:track:4A59ygOlOd3V0GbyEmUxKs,https://api.spotify.com/v1/tracks/4A59ygOlOd3V0GbyEmUxKs,https://api.spotify.com/v1/audio-analysis/4A59ygOlOd3V0GbyEmUxKs,137067,4,NATTAN,Pega Cabuloso - Ao Vivo em São Paulo
7k8YBbVumvWI1ujyjWbvlo,other,0.561,0.903,7,-3.667,1,0.0498,0.317,0.0,0.72,0.77,157.879,audio_features,spotify:track:7k8YBbVumvWI1ujyjWbvlo,https://api.spotify.com/v1/tracks/7k8YBbVumvWI1ujyjWbvlo,https://api.spotify.com/v1/audio-analysis/7k8YBbVumvWI1ujyjWbvlo,186776,4,NATTAN,O Fantástico Mundo De Nattan (Ao Vivo)
0ZVWliWjMmYFxQe9U63Y5W,other,0.659,0.904,6,-2.373,1,0.0769,0.33,0.0,0.962,0.722,146.043,audio_features,spotify:track:0ZVWliWjMmYFxQe9U63Y5W,https://api.spotify.com/v1/tracks/0ZVWliWjMmYFxQe9U63Y5W,https://api.spotify.com/v1/audio-analysis/0ZVWliWjMmYFxQe9U63Y5W,147116,4,Raí Saia Rodada,5 Da Manhã (Ao Vivo Em Goiânia)
0gg3QtCcPZn4aJ0D7dRNul,other,0.65,0.832,7,-6.434,1,0.0298,0.437,0.0,0.395,0.821,134.042,audio_features,spotify:track:0gg3QtCcPZn4aJ0D7dRNul,https://api.spotify.com/v1/tracks/0gg3QtCcPZn4aJ0D7dRNul,https://api.spotify.com/v1/audio-analysis/0gg3QtCcPZn4aJ0D7dRNul,162647,4,Manim Vaqueiro,SENTIMENTO
1F3tUdDOC9ip7pUQnJ9SJa,other,0.601,0.951,7,-3.598,1,0.0606,0.231,0.0,0.29,0.896,186.09,audio_features,spotify:track:1F3tUdDOC9ip7pUQnJ9SJa,https://api.spotify.com/v1/tracks/1F3tUdDOC9ip7pUQnJ9SJa,https://api.spotify.com/v1/audio-analysis/1F3tUdDOC9ip7pUQnJ9SJa,227520,4,Mari Fernandez,Amor Impossível
2qmG7dokbGpDGD0T5wORWt,other,0.764,0.796,6,-4.611,0,0.033,0.193,0.0,0.0853,0.924,140.072,audio_features,spotify:track:2qmG7dokbGpDGD0T5wORWt,https://api.spotify.com/v1/tracks/2qmG7dokbGpDGD0T5wORWt,https://api.spotify.com/v1/audio-analysis/2qmG7dokbGpDGD0T5wORWt,166436,4,Matheus Fernandes,Balanço da Rede
2IUZNW8TPTZCJ4ZHY4OfEX,other,0.823,0.865,7,-3.066,0,0.0366,0.496,0.00399,0.111,0.962,131.971,audio_features,spotify:track:2IUZNW8TPTZCJ4ZHY4OfEX,https://api.spotify.com/v1/tracks/2IUZNW8TPTZCJ4ZHY4OfEX,https://api.spotify.com/v1/audio-analysis/2IUZNW8TPTZCJ4ZHY4OfEX,172727,4,Felipe Amorim,Novinha do TKT
5btDKzAsFh975NSWxwBHRc,other,0.877,0.777,3,-2.399,0,0.0387,0.451,9.06e-06,0.159,0.934,124.997,audio_features,spotify:track:5btDKzAsFh975NSWxwBHRc,https://api.spotify.com/v1/tracks/5btDKzAsFh975NSWxwBHRc,https://api.spotify.com/v1/audio-analysis/5btDKzAsFh975NSWxwBHRc,192240,4,Felipe Amorim,Coisas Que Eu Sei
60ILJutBf3XoAfmNafR8mz,other,0.591,0.85,11,-3.175,0,0.0531,0.138,0.0,0.13,0.821,151.687,audio_features,spotify:track:60ILJutBf3XoAfmNafR8mz,https://api.spotify.com/v1/tracks/60ILJutBf3XoAfmNafR8mz,https://api.spotify.com/v1/audio-analysis/60ILJutBf3XoAfmNafR8mz,148117,4,Mari Fernandez,Vai Viver
1RGluLu2l8NMZHyOg0rxiu,other,0.742,0.925,0,-3.298,0,0.0406,0.76,0.0,0.837,0.973,140.005,audio_features,spotify:track:1RGluLu2l8NMZHyOg0rxiu,https://api.spotify.com/v1/tracks/1RGluLu2l8NMZHyOg0rxiu,https://api.spotify.com/v1/audio-analysis/1RGluLu2l8NMZHyOg0rxiu,150399,4,Henry Freitas,Barulho do Prazer
2vXKRlJBXyOcvZYTdNeckS,other,0.658,0.671,2,-12.21,1,0.0364,0.0928,0.000919,0.115,0.165,100.967,audio_features,spotify:track:2vXKRlJBXyOcvZYTdNeckS,https://api.spotify.com/v1/tracks/2vXKRlJBXyOcvZYTdNeckS,https://api.spotify.com/v1/audio-analysis/2vXKRlJBXyOcvZYTdNeckS,202093,4,Gesaffelstein,Hyperion
3lMzT16MjAKKXF7pSZn13B,other,0.866,0.741,7,-4.66,1,0.245,0.0933,0.0,0.0297,0.614,135.07,audio_features,spotify:track:3lMzT16MjAKKXF7pSZn13B,https://api.spotify.com/v1/tracks/3lMzT16MjAKKXF7pSZn13B,https://api.spotify.com/v1/audio-analysis/3lMzT16MjAKKXF7pSZn13B,124444,4,Lay Bankz,Tell Ur Girlfriend
3Vp4B9KshEPy72bwY0NJks,other,0.867,0.743,7,-4.682,1,0.251,0.0943,0.0,0.0491,0.605,135.06,audio_features,spotify:track:3Vp4B9KshEPy72bwY0NJks,https://api.spotify.com/v1/tracks/3Vp4B9KshEPy72bwY0NJks,https://api.spotify.com/v1/audio-analysis/3Vp4B9KshEPy72bwY0NJks,124444,4,Lay Bankz,After 7
3gZilge8NsINDKKlZD03Zg,other,0.903,0.769,2,-3.371,1,0.128,0.263,0.0,0.143,0.508,137.983,audio_features,spotify:track:3gZilge8NsINDKKlZD03Zg,https://api.spotify.com/v1/tracks/3gZilge8NsINDKKlZD03Zg,https://api.spotify.com/v1/audio-analysis/3gZilge8NsINDKKlZD03Zg,115725,4,Lay Bankz,Ick
00WnaHagi3KLsrbs20OFVt,other,0.878,0.967,7,-4.481,1,0.274,0.191,0.0,0.237,0.735,139.921,audio_features,spotify:track:00WnaHagi3KLsrbs20OFVt,https://api.spotify.com/v1/tracks/00WnaHagi3KLsrbs20OFVt,https://api.spotify.com/v1/audio-analysis/00WnaHagi3KLsrbs20OFVt,162071,4,Lay Bankz,Sloppy Seconds (Ick Pt. 2)
7nn4MXs89QymmNzRreTywe,other,0.902,0.767,2,-3.376,1,0.128,0.264,0.0,0.143,0.52,137.985,audio_features,spotify:track:7nn4MXs89QymmNzRreTywe,https://api.spotify.com/v1/tracks/7nn4MXs89QymmNzRreTywe,https://api.spotify.com/v1/audio-analysis/7nn4MXs89QymmNzRreTywe,115725,4,Lay Bankz,Now You See Me
